nataid,natarms,natchld,natcity,natcrime,natdrug,nateduc,natenrgy,natenvir,natfare,natheal,natmass,natpark,natrace,natroad,natsci,natsoc,eqwlth,health,helpsick,helppoor,year
Too much,About right,About right,Too little,About right,About right,Too little,About right,Too little,About right,About right,About right,About right,Too little,Too little,Too little,About right,3,NA,Yes,Somewhat,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,About right,About right,Too little,NA,Excellent,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,About right,About right,2,Excellent,Yes,Somewhat,2018
Too much,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too much,Too little,Too little,About right,Too little,Too little,About right,Too little,3,NA,Somewhat,Both,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too much,Too little,Too little,NA,Poor,NA,NA,2018
About right,Too much,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too much,5,Good,NA,Both,2018
About right,About right,Too little,NA,Too little,Too little,Too little,Too little,Too little,Too much,About right,About right,About right,About right,Too little,About right,Too little,1,NA,Yes,Both,2018
Too much,Too much,About right,Too much,Too much,Too much,About right,Too little,About right,Too much,Too little,About right,About right,About right,Too little,About right,About right,5,Good,Both,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,Too little,NA,Too little,Too little,Too little,5,Good,Both,Both,2018
Too little,NA,Too much,NA,NA,Too much,NA,NA,Too much,About right,Too little,NA,Too little,NA,About right,NA,Too little,7,NA,Both,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,NA,Poor,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,Too little,Too little,1,NA,Yes,Both,2018
Too much,About right,About right,Too little,Too little,Too little,About right,About right,About right,Too much,About right,Too much,About right,Too little,Too little,About right,About right,NA,Good,NA,NA,2018
Too much,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too much,Too little,Too little,Too little,NA,Too little,About right,About right,5,NA,Both,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too much,Too little,NA,About right,Too little,Too much,NA,Fair,NA,NA,2018
About right,About right,Too little,About right,About right,Too little,Too little,About right,Too little,About right,Too little,About right,About right,Too little,About right,Too little,Too little,4,Excellent,Both,Both,2018
Too much,About right,NA,About right,Too little,About right,Too little,Too little,Too little,Too much,Too little,About right,Too little,Too little,About right,Too little,Too little,NA,Good,NA,NA,2018
Too much,Too much,Too little,Too much,Too little,About right,Too little,About right,Too little,Too much,About right,Too little,About right,Too little,About right,Too little,About right,NA,Fair,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,About right,Too little,NA,Excellent,NA,NA,2018
About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,1,Good,Somewhat,Yes,2018
About right,About right,About right,Too little,Too little,Too little,About right,Too little,About right,About right,Too little,About right,Too little,Too much,Too little,About right,Too little,NA,Fair,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,NA,NA,NA,NA,About right,About right,NA,About right,NA,About right,6,Good,Yes,NA,2018
Too much,About right,Too little,NA,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,NA,NA,About right,NA,Too little,4,NA,Somewhat,Both,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too much,Too much,NA,Too little,Too little,Too little,NA,Fair,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too much,NA,NA,NA,Too much,Too little,NA,Too little,Too little,Too little,7,NA,No,No,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,2,Good,Yes,Somewhat,2018
About right,About right,Too little,Too little,About right,About right,Too little,About right,About right,About right,Too little,Too little,About right,About right,About right,About right,About right,3,NA,Yes,Yes,2018
Too little,Too much,Too little,NA,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,Excellent,Yes,Yes,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,About right,6,NA,NA,NA,2018
Too little,NA,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,NA,Poor,NA,NA,2018
Too little,Too much,About right,About right,Too little,Too little,About right,About right,Too much,About right,Too little,Too much,Too much,Too little,About right,Too little,About right,4,NA,Somewhat,Both,2018
Too much,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,Too little,About right,About right,About right,Too little,Too little,About right,Too little,5,Excellent,Both,Both,2018
About right,About right,Too little,About right,Too little,Too little,Too little,About right,About right,Too little,Too little,About right,About right,Too little,About right,About right,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,NA,NA,NA,Too little,NA,Too little,6,Poor,Both,Both,2018
About right,About right,Too little,About right,Too little,Too much,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,NA,1,NA,Yes,No,2018
NA,NA,Too little,NA,NA,NA,NA,Too much,NA,NA,NA,About right,About right,NA,Too much,Too much,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too much,Too little,NA,About right,Too much,Too little,5,Good,Both,Both,2018
Too much,Too little,About right,Too little,About right,Too little,Too little,About right,Too little,Too much,About right,Too little,About right,About right,Too little,About right,Too little,7,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,About right,1,Fair,Yes,Yes,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too much,Too little,NA,Too little,Too little,Too little,NA,Excellent,NA,NA,2018
Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too much,Too little,About right,About right,About right,Too much,Too little,About right,1,Fair,Both,Both,2018
Too much,About right,Too much,About right,Too little,Too much,About right,Too much,About right,Too much,About right,Too little,About right,Too much,Too much,About right,Too little,NA,Excellent,NA,NA,2018
Too much,About right,Too little,About right,NA,Too little,Too little,Too little,Too little,Too much,Too little,Too little,Too little,NA,About right,Too little,Too little,4,NA,Yes,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too much,NA,NA,NA,Too much,About right,NA,Too much,Too much,Too much,NA,Good,NA,NA,2018
Too little,Too much,Too little,NA,NA,About right,Too little,Too little,Too little,NA,Too little,About right,About right,Too little,About right,Too little,About right,2,Fair,Somewhat,Somewhat,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too much,Too little,NA,About right,About right,About right,4,NA,Both,Both,2018
Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,1,NA,Yes,Both,2018
NA,Too much,NA,NA,Too little,NA,Too little,About right,About right,Too much,Too much,Too little,About right,Too little,About right,NA,NA,7,Excellent,Yes,No,2018
Too much,Too little,About right,About right,Too little,About right,Too little,Too little,About right,Too much,Too little,Too little,About right,Too little,Too little,Too much,Too little,5,NA,Both,Somewhat,2018
Too much,Too much,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too much,About right,About right,About right,Too little,Too little,About right,3,Good,Yes,Both,2018
Too much,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too much,Too little,About right,About right,About right,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,NA,Too much,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,About right,About right,6,Fair,Both,NA,2018
About right,About right,NA,NA,Too much,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,3,NA,Yes,Somewhat,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,Too little,NA,NA,Good,NA,NA,2018
Too much,Too little,About right,About right,Too little,Too little,About right,About right,Too much,Too much,Too little,Too much,About right,About right,About right,About right,Too little,4,Good,No,No,2018
NA,NA,About right,NA,NA,NA,NA,Too much,NA,NA,NA,About right,Too little,NA,Too little,About right,About right,7,NA,Both,No,2018
NA,Too much,NA,NA,Too little,Too little,Too little,About right,Too little,NA,Too little,About right,About right,Too little,NA,About right,NA,NA,Excellent,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,Too little,5,Good,Yes,Both,2018
About right,Too much,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too much,About right,About right,Too little,Too little,About right,About right,Too little,3,Good,Yes,Both,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,Too little,5,NA,Both,Both,2018
About right,About right,Too little,About right,Too little,Too little,Too little,About right,Too little,About right,About right,About right,Too little,About right,Too little,About right,Too little,NA,Good,NA,NA,2018
About right,About right,About right,Too little,Too little,About right,About right,Too much,Too much,About right,Too little,About right,About right,Too little,Too little,Too little,About right,1,NA,Both,Yes,2018
About right,About right,About right,About right,Too little,About right,About right,About right,About right,Too little,Too little,About right,About right,Too little,About right,About right,Too little,NA,Good,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,About right,Too little,4,Good,Both,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,Too little,Too little,3,Poor,NA,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,Too little,Too much,6,Good,Both,NA,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,About right,About right,About right,NA,Good,NA,NA,2018
Too much,About right,About right,Too little,Too little,About right,About right,Too little,Too little,About right,About right,About right,About right,About right,NA,Too little,About right,3,Good,Both,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,6,NA,Somewhat,Both,2018
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,About right,Too little,1,NA,Yes,Yes,2018
Too little,Too much,Too little,Too little,Too little,About right,Too little,Too little,Too much,Too little,Too little,About right,About right,Too little,Too little,About right,Too little,6,NA,Yes,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too much,NA,NA,NA,Too little,About right,NA,About right,Too little,Too little,NA,Fair,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too much,NA,Too little,Too little,Too little,NA,Excellent,NA,NA,2018
About right,About right,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,Too little,Too little,4,Fair,Yes,Yes,2018
Too little,Too much,About right,About right,Too little,About right,Too little,Too little,Too little,About right,About right,Too much,About right,Too little,About right,Too little,About right,NA,Good,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,Too much,NA,NA,NA,About right,About right,NA,About right,About right,About right,NA,Good,NA,NA,2018
Too much,Too much,About right,Too little,About right,About right,Too little,About right,Too little,About right,Too little,About right,About right,About right,About right,About right,Too little,4,NA,Both,Both,2018
About right,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,NA,NA,Excellent,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,About right,About right,1,Excellent,Yes,Somewhat,2018
About right,About right,Too little,About right,About right,About right,Too little,About right,Too little,About right,About right,About right,About right,About right,Too little,About right,About right,5,NA,Somewhat,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,6,NA,Both,Both,2018
Too much,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too much,Too much,Too little,Too little,About right,Too little,Too little,About right,Too little,NA,Good,NA,NA,2018
About right,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,2,NA,Somewhat,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,1,Good,Yes,Yes,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too much,About right,Too little,4,NA,Both,Both,2018
